problem,n_node,hyperparam,value,cost,gap,time,training_time,timestamp
tsp,1000,M,4,23.2579,0.2952,0.2678,0.47960758209228516,2026-04-08T02:19:36.622163
tsp,1000,M,8,23.2277,0.164,0.288,1414.5804555416107,2026-04-08T02:43:22.237452
tsp,1000,M,12,23.2322,0.1834,0.3105,7.939338684082031e-05,2026-04-08T02:43:29.252457
tsp,1000,M,16,23.2563,0.2872,0.3339,1463.2150423526764,2026-04-08T03:08:05.626830
tsp,1000,M,20,23.3619,0.7424,0.3693,1499.2824285030365,2026-04-08T03:33:19.402310
tsp,5000,M,4,51.647,1.3213,0.6867,1779.3754048347473,2026-04-08T04:03:20.944893
tsp,5000,M,8,51.6239,1.2759,0.7346,1814.107174873352,2026-04-08T04:33:59.493311
tsp,5000,M,12,51.6321,1.2919,0.7598,8.463859558105469e-05,2026-04-08T04:34:13.613689
tsp,5000,M,16,51.7718,1.5659,0.8226,1873.0454623699188,2026-04-08T05:05:55.817933
tsp,5000,M,20,52.0491,2.11,0.8552,1904.8709013462067,2026-04-08T05:38:11.726143
tsp,1000,K,16,23.2374,0.2068,0.2587,1410.6256551742554,2026-04-08T06:01:52.790282
tsp,1000,K,24,23.2315,0.18,0.2826,1426.7495141029358,2026-04-08T06:25:50.855391
tsp,1000,K,32,23.2322,0.1834,0.3122,8.296966552734375e-05,2026-04-08T06:25:57.927071
tsp,1000,K,48,23.209,0.0832,0.355,1477.2369425296783,2026-04-08T06:50:48.948725
tsp,1000,K,64,23.1814,-0.0355,0.4579,1518.7035365104675,2026-04-08T07:16:23.938182
tsp,5000,K,16,51.6764,1.3787,0.6005,1682.9944005012512,2026-04-08T07:44:48.492796
tsp,5000,K,24,51.6415,1.3103,0.6941,1763.9913849830627,2026-04-08T08:14:36.623123
tsp,5000,K,32,51.6337,1.2949,0.7556,0.0001347064971923828,2026-04-08T08:14:50.717933
tsp,5000,K,48,51.4889,1.0109,0.9827,1990.28692984581,2026-04-08T08:48:33.199078
tsp,5000,K,64,51.4719,0.9776,1.1724,2156.0218694210052,2026-04-08T09:25:06.667589
tsp,1000,S,50,23.2102,0.0891,0.4207,1775.6513004302979,2026-04-08T09:54:56.308641
tsp,1000,S,100,23.2322,0.1834,0.3096,8.153915405273438e-05,2026-04-08T09:55:03.346295
tsp,1000,S,200,23.2158,0.1136,0.3167,1368.4650511741638,2026-04-08T10:18:04.077705
tsp,1000,S,400,23.2995,0.4734,0.2575,1105.9892728328705,2026-04-08T10:36:40.375677
tsp,5000,S,50,51.5557,1.1422,0.8667,2345.0698113441467,2026-04-08T11:16:13.553565
tsp,5000,S,100,51.6321,1.2919,0.7595,8.7738037109375e-05,2026-04-08T11:16:27.675499
tsp,5000,S,200,51.5896,1.2085,0.7491,1713.7283608913422,2026-04-08T11:45:27.519428
tsp,5000,S,400,52.0368,2.0856,0.6185,1358.216080904007,2026-04-08T12:08:27.356790
